,NestBox,Plot,latitude,longitude,CatchDate,CatchMonth,Season,coords.x1,coords.x2,Occur,CatchYear,B1,B2,B3,B4,B5,NDVI,Elevation,Slope,Aspect,NDVItext,Dist_to_path
211,1023,10,47.96165,11.15725,1/15/2013 12:00,1,1,661036.494,5314289.864,0,2013,41,31,21,114,54,0.688888889,19.00000001,0.021725465,4.228000475,6.54E-07,30
902,1023,10,47.96165,11.15725,5/23/2013 12:00,5,0,661036.494,5314289.864,0,2013,41,31,21,114,54,0.688888889,19.00000001,0.021725465,4.228000475,6.54E-07,30
212,1024,10,47.96165,11.15725,1/15/2013 12:00,1,1,661036.494,5314289.864,0,2013,41,31,21,114,54,0.688888889,19.00000001,0.021725465,4.228000475,6.54E-07,30
903,1024,10,47.96165,11.15725,5/23/2013 12:00,5,0,661036.494,5314289.864,0,2013,41,31,21,114,54,0.688888889,19.00000001,0.021725465,4.228000475,6.54E-07,30
213,1025,10,47.96165,11.15725,1/15/2013 12:00,1,1,661036.494,5314289.864,0,2013,41,31,21,114,54,0.688888889,19.00000001,0.021725465,4.228000475,6.54E-07,30
214,1026,10,47.96163,11.15442,1/15/2013 12:00,1,1,660825.3097,5314281.735,0,2013,40,29,20,88,42,0.62962963,20,8.66E-11,1.276798871,2.49E-05,0
904,1026,10,47.96163,11.15442,5/23/2013 12:00,5,0,660825.3097,5314281.735,0,2013,40,29,20,88,42,0.62962963,20,8.66E-11,1.276798871,2.49E-05,0
215,1027,10,47.96176,11.15387,1/15/2013 12:00,1,1,660783.8512,5314295.036,0,2013,40,28,21,67,32,0.522727273,20,0.001235094,5.653226313,1.29E-05,42.42640687
216,1028,10,47.96119,11.15389,1/15/2013 12:00,1,1,660787.1136,5314231.729,0,2013,39,28,21,90,43,0.621621622,20,0.00345803,3.926990834,1.61E-05,60
905,1028,10,47.96119,11.15389,5/23/2013 12:00,5,0,660787.1136,5314231.729,0,2013,39,28,21,90,43,0.621621622,20,0.00345803,3.926990834,1.61E-05,60
217,1029,10,47.96125,11.15456,1/15/2013 12:00,1,1,660836.9401,5314239.795,0,2013,40,30,20,91,46,0.63963964,20,3.36E-12,0.785395239,1.40E-05,0
906,1029,10,47.96125,11.15456,5/23/2013 12:00,5,0,660836.9401,5314239.795,0,2013,40,30,20,91,46,0.63963964,20,3.36E-12,0.785395239,1.40E-05,0
907,1030,10,47.96121,11.15514,5/23/2013 12:00,5,0,660880.359,5314236.559,0,2013,40,29,19,98,48,0.675213675,20,0.000275389,0.785398174,4.24E-06,0
218,1031,10,47.96127,11.15595,1/15/2013 12:00,1,1,660940.6359,5314244.918,0,2013,40,30,20,100,48,0.666666667,19.91234065,0.012965792,0.360094012,2.59E-06,30
908,1031,10,47.96127,11.15595,5/23/2013 12:00,5,0,660940.6359,5314244.918,0,2013,40,30,20,100,48,0.666666667,19.91234065,0.012965792,0.360094012,2.59E-06,30
219,1032,10,47.96114,11.15636,1/15/2013 12:00,1,1,660971.6447,5314231.325,0,2013,40,30,22,110,51,0.666666667,19.92836311,0.016385477,6.278309865,2.92E-06,60
220,1033,10,47.96121,11.15728,1/15/2013 12:00,1,1,661040.1015,5314241.026,0,2013,40,30,20,117,56,0.708029197,20.00984273,0.02234623,0.259003594,2.82E-06,0
909,1033,10,47.96121,11.15728,5/23/2013 12:00,5,0,661040.1015,5314241.026,0,2013,40,30,20,117,56,0.708029197,20.00984273,0.02234623,0.259003594,2.82E-06,0
221,1034,10,47.96127,11.15796,1/15/2013 12:00,1,1,661090.6741,5314249.114,0,2013,39,30,21,109,53,0.676923077,19.78802191,0.011873399,3.706094594,3.29E-06,42.42640687
222,1035,10,47.96083,11.15851,1/15/2013 12:00,1,1,661133.0982,5314201.363,0,2013,40,29,21,97,42,0.644067797,19.00000001,0.015439915,4.336317973,3.77E-06,84.85281374
910,1035,10,47.96083,11.15851,5/23/2013 12:00,5,0,661133.0982,5314201.363,0,2013,40,29,21,97,42,0.644067797,19.00000001,0.015439915,4.336317973,3.77E-06,84.85281374
223,1037,10,47.96062,11.15714,1/15/2013 12:00,1,1,661031.4854,5314175.163,0,2013,41,29,20,89,45,0.633027523,20.14356796,0.010901771,4.802902686,7.72E-06,30
911,1037,10,47.96062,11.15714,5/30/2013 12:00,5,0,661031.4854,5314175.163,0,2013,41,29,20,89,45,0.633027523,20.14356796,0.010901771,4.802902686,7.72E-06,30
912,1038,10,47.9608,11.15665,5/30/2013 12:00,5,0,660994.3489,5314194.144,0,2013,40,31,21,115,55,0.691176471,20,0.002650333,5.242263119,5.69E-06,42.42640687
224,1039,10,47.96083,11.15588,1/15/2013 12:00,1,1,660936.7778,5314195.871,0,2013,41,31,22,105,50,0.653543307,20,0.0010714,0.282331237,3.50E-06,30
913,1039,10,47.96083,11.15588,5/30/2013 12:00,5,0,660936.7778,5314195.871,0,2013,41,31,22,105,50,0.653543307,20,0.0010714,0.282331237,3.50E-06,30
225,1041,10,47.96081,11.15448,1/15/2013 12:00,1,1,660832.3347,5314190.728,0,2013,43,30,21,94,48,0.634782609,20,1.41E-10,3.926990747,7.98E-06,0
914,1041,10,47.96081,11.15448,5/26/2013 12:00,5,0,660832.3347,5314190.728,0,2013,43,30,21,94,48,0.634782609,20,1.41E-10,3.926990747,7.98E-06,0
226,1042,10,47.96065,11.15392,1/15/2013 12:00,1,1,660791.0294,5314171.778,0,2013,40,30,20,109,52,0.689922481,19.7014813,0.016408566,3.931176482,1.62E-06,30
915,1042,10,47.96065,11.15392,5/26/2013 12:00,5,0,660791.0294,5314171.778,0,2013,40,30,20,109,52,0.689922481,19.7014813,0.016408566,3.931176482,1.62E-06,30
227,1043,10,47.96036,11.15387,1/15/2013 12:00,1,1,660788.1973,5314139.444,0,2013,39,30,21,104,53,0.664,19.17283311,0.012054206,3.705457543,4.67E-06,30
228,1045,10,47.96034,11.15726,1/15/2013 12:00,1,1,661041.3136,5314144.295,0,2013,40,30,22,95,48,0.623931624,20.49352122,0.020511517,2.493905597,8.57E-06,0
916,1045,10,47.96034,11.15726,5/21/2013 12:00,5,0,661041.3136,5314144.295,0,2013,40,30,22,95,48,0.623931624,20.49352122,0.020511517,2.493905597,8.57E-06,0
229,1046,10,47.96029,11.15794,1/15/2013 12:00,1,1,661092.2292,5314140.158,0,2013,41,30,22,106,51,0.65625,20.00027601,0.035811567,2.486003188,1.56E-05,0
917,1046,10,47.96029,11.15794,5/21/2013 12:00,5,0,661092.2292,5314140.158,0,2013,41,30,22,106,51,0.65625,20.00027601,0.035811567,2.486003188,1.56E-05,0
230,1047,10,47.96037,11.15842,1/15/2013 12:00,1,1,661127.8111,5314150.052,0,2013,41,30,21,108,49,0.674418605,18.11317964,0.023221331,3.689973762,1.13E-05,60
918,1047,10,47.96037,11.15842,5/21/2013 12:00,5,0,661127.8111,5314150.052,0,2013,41,30,21,108,49,0.674418605,18.11317964,0.023221331,3.689973762,1.13E-05,60
231,1048,10,47.95985,11.15839,1/15/2013 12:00,1,1,661127.1893,5314092.198,0,2013,40,30,21,114,54,0.688888889,18.75130779,0.035981325,5.5221183,2.57E-06,30
919,1048,10,47.95985,11.15839,5/21/2013 12:00,5,0,661127.1893,5314092.198,0,2013,40,30,21,114,54,0.688888889,18.75130779,0.035981325,5.5221183,2.57E-06,30
232,1049,10,47.95995,11.15815,1/15/2013 12:00,1,1,661108.9627,5314102.811,0,2013,41,31,22,117,57,0.683453237,17.70384012,0.020371371,2.755875025,5.17E-06,30
920,1049,10,47.95995,11.15815,5/21/2013 12:00,5,0,661108.9627,5314102.811,0,2013,41,31,22,117,57,0.683453237,17.70384012,0.020371371,2.755875025,5.17E-06,30
921,1050,10,47.96001,11.15725,5/21/2013 12:00,5,0,661041.5931,5314107.599,0,2013,41,29,24,92,48,0.586206897,19.59774952,0.038148344,2.004406104,5.27E-06,30
233,1101,11,47.98039,11.15971,1/14/2013 12:00,1,1,661161.7793,5316377.715,0,2013,40,30,22,75,48,0.546391753,20.20581763,0.006677825,0.02195817,1.45E-05,60
922,1101,11,47.98039,11.15971,5/21/2013 12:00,5,0,661161.7793,5316377.715,0,2013,40,30,22,75,48,0.546391753,20.20581763,0.006677825,0.02195817,1.45E-05,60
234,1102,11,47.98054,11.15917,1/14/2013 12:00,1,1,661121.0184,5316393.257,0,2013,39,28,20,87,45,0.626168224,19.84144624,0.020515615,4.265143623,1.34E-05,84.85281374
235,1103,11,47.98041,11.15839,1/14/2013 12:00,1,1,661063.2208,5316377.179,0,2013,41,28,20,85,44,0.619047619,18.01421851,0.029168012,3.762999376,5.56E-06,42.42640687
923,1103,11,47.98041,11.15839,5/21/2013 12:00,5,0,661063.2208,5316377.179,0,2013,41,28,20,85,44,0.619047619,18.01421851,0.029168012,3.762999376,5.56E-06,42.42640687
236,1104,11,47.98037,11.15779,1/14/2013 12:00,1,1,661018.5743,5316371.48,0,2013,39,28,20,89,45,0.633027523,17.73174895,0.043444194,3.391409692,1.84E-05,42.42640687
924,1104,11,47.98037,11.15779,5/21/2013 12:00,5,0,661018.5743,5316371.48,0,2013,39,28,20,89,45,0.633027523,17.73174895,0.043444194,3.391409692,1.84E-05,42.42640687
237,1105,11,47.98007,11.15711,1/14/2013 12:00,1,1,660968.7668,5316336.719,0,2013,40,29,20,87,44,0.626168224,15.75633765,0.033522804,2.502340573,6.67E-05,0
925,1105,11,47.98007,11.15711,5/21/2013 12:00,5,0,660968.7668,5316336.719,0,2013,40,29,20,87,44,0.626168224,15.75633765,0.033522804,2.502340573,6.67E-05,0
238,1106,11,47.98002,11.15772,1/14/2013 12:00,1,1,661014.4398,5316332.436,0,2013,39,28,20,85,42,0.619047619,15.9888039,0.034290331,3.721016474,4.57E-06,60
926,1106,11,47.98002,11.15772,5/21/2013 12:00,5,0,661014.4398,5316332.436,0,2013,39,28,20,85,42,0.619047619,15.9888039,0.034290331,3.721016474,4.57E-06,60
239,1107,11,47.97998,11.15854,1/14/2013 12:00,1,1,661075.7518,5316329.703,0,2013,40,29,20,82,39,0.607843137,15.06624047,0.042081097,3.819808058,4.24E-06,108.1665383
240,1108,11,47.97994,11.15906,1/14/2013 12:00,1,1,661114.6781,5316326.344,0,2013,39,28,20,83,39,0.611650485,17.31938667,0.07315503,4.280900493,3.27E-06,108.1665383
927,1108,11,47.97994,11.15906,5/21/2013 12:00,5,0,661114.6781,5316326.344,0,2013,39,28,20,83,39,0.611650485,17.31938667,0.07315503,4.280900493,3.27E-06,108.1665383
928,1109,11,47.98003,11.15985,5/21/2013 12:00,5,0,661173.3468,5316337.998,0,2013,40,29,20,91,46,0.63963964,19.71214408,0.015057448,2.323601624,2.69E-06,60
241,1110,11,47.97994,11.16036,1/14/2013 12:00,1,1,661211.6828,5316329.062,0,2013,41,28,21,85,42,0.603773585,19.12849412,0.010830715,2.012851338,2.91E-06,30
929,1110,11,47.97994,11.16036,5/21/2013 12:00,5,0,661211.6828,5316329.062,0,2013,41,28,21,85,42,0.603773585,19.12849412,0.010830715,2.012851338,2.91E-06,30
930,1111,11,47.97955,11.16058,5/21/2013 12:00,5,0,661229.3137,5316286.179,0,2013,40,29,20,91,46,0.63963964,19.86024292,0.027099789,0.955781506,6.96E-06,0
931,1112,11,47.97957,11.15958,5/21/2013 12:00,5,0,661154.632,5316286.31,0,2013,39,28,20,83,40,0.611650485,19.72770991,0.047938533,4.524448538,4.52E-06,67.08203932
242,1113,11,47.97957,11.15913,1/14/2013 12:00,1,1,661121.0532,5316285.37,0,2013,39,28,20,85,42,0.619047619,16.50279443,0.066134712,4.724661753,2.41E-06,84.85281374
932,1113,11,47.97957,11.15913,5/21/2013 12:00,5,0,661121.0532,5316285.37,0,2013,39,28,20,85,42,0.619047619,16.50279443,0.066134712,4.724661753,2.41E-06,84.85281374
933,1114,11,47.97967,11.15841,5/21/2013 12:00,5,0,661067.016,5316294.979,0,2013,39,28,19,89,43,0.648148148,16.00000001,0.022699878,5.108898044,2.59E-06,108.1665383
934,1115,11,47.97954,11.15773,5/21/2013 12:00,5,0,661016.6792,5316279.111,0,2013,39,28,20,89,42,0.633027523,15.00000007,0.024455032,5.915959753,2.45E-06,84.85281374
243,1116,11,47.97956,11.15739,1/14/2013 12:00,1,1,660991.2463,5316280.623,0,2013,40,28,21,89,44,0.618181818,15.00000005,0.027509873,0.267369301,4.00E-06,60
935,1116,11,47.97956,11.15739,5/21/2013 12:00,5,0,660991.2463,5316280.623,0,2013,40,28,21,89,44,0.618181818,15.00000005,0.027509873,0.267369301,4.00E-06,60
244,1117,11,47.97904,11.15709,1/14/2013 12:00,1,1,660970.4776,5316222.205,0,2013,40,29,20,91,45,0.63963964,17,0.012996506,5.143853544,1.07E-05,60
936,1117,11,47.97904,11.15709,5/21/2013 12:00,5,0,660970.4776,5316222.205,0,2013,40,29,20,91,45,0.63963964,17,0.012996506,5.143853544,1.07E-05,60
245,1118,11,47.97909,11.15777,1/14/2013 12:00,1,1,661021.0639,5316229.182,0,2013,41,29,21,84,41,0.6,16.789968,0.031284616,6.166913984,6.54E-06,94.86832981
937,1118,11,47.97909,11.15777,5/21/2013 12:00,5,0,661021.0639,5316229.182,0,2013,41,29,21,84,41,0.6,16.789968,0.031284616,6.166913984,6.54E-06,94.86832981
938,1119,11,47.97917,11.15846,5/21/2013 12:00,5,0,661072.3029,5316239.515,0,2013,40,28,21,90,44,0.621621622,16.00000008,0.039697422,5.462213893,1.34E-06,67.08203932
246,1120,11,47.97903,11.15918,1/14/2013 12:00,1,1,661126.4651,5316225.46,0,2013,39,27,19,86,42,0.638095238,20,0.034351823,5.141772714,6.87E-06,30
939,1120,11,47.97903,11.15918,5/21/2013 12:00,5,0,661126.4651,5316225.46,0,2013,39,27,19,86,42,0.638095238,20,0.034351823,5.141772714,6.87E-06,30
247,1121,11,47.97915,11.15993,1/14/2013 12:00,1,1,661182.0567,5316240.364,0,2013,40,29,20,86,43,0.622641509,20,0.006484587,4.946327887,6.56E-06,0
940,1121,11,47.97915,11.15993,5/21/2013 12:00,5,0,661182.0567,5316240.364,0,2013,40,29,20,86,43,0.622641509,20,0.006484587,4.946327887,6.56E-06,0
248,1122,11,47.97865,11.15986,1/14/2013 12:00,1,1,661178.3902,5316184.649,0,2013,40,28,20,68,29,0.545454545,20,3.28E-06,5.497787737,1.47E-05,30
941,1122,11,47.97865,11.15986,5/21/2013 12:00,5,0,661178.3902,5316184.649,0,2013,40,28,20,68,29,0.545454545,20,3.28E-06,5.497787737,1.47E-05,30
942,1123,11,47.97877,11.15909,5/21/2013 12:00,5,0,661120.5586,5316196.376,0,2013,40,30,20,93,48,0.646017699,19.19885929,0.046693671,5.237804733,1.42E-05,30
943,1125,11,47.97866,11.15777,5/21/2013 12:00,5,0,661022.4015,5316181.393,0,2013,40,27,21,76,38,0.567010309,17.00000001,0.019613341,5.152849624,1.26E-05,120
249,1126,11,47.97866,11.15716,1/14/2013 12:00,1,1,660976.8828,5316180.119,0,2013,41,28,21,78,40,0.575757576,17,0.000536556,6.257525415,9.72E-06,94.86832981
944,1126,11,47.97866,11.15716,5/21/2013 12:00,5,0,660976.8828,5316180.119,0,2013,41,28,21,78,40,0.575757576,17,0.000536556,6.257525415,9.72E-06,94.86832981
250,1127,11,47.97826,11.15704,1/14/2013 12:00,1,1,660969.1722,5316135.414,0,2013,39,28,20,88,45,0.62962963,17,0.0046284,5.876496882,4.53E-06,84.85281374
251,1128,11,47.97818,11.15791,1/14/2013 12:00,1,1,661034.3417,5316128.34,0,2013,40,29,20,79,41,0.595959596,17.62562885,0.027729677,5.418194015,2.61E-06,94.86832981
945,1128,11,47.97818,11.15791,5/21/2013 12:00,5,0,661034.3417,5316128.34,0,2013,40,29,20,79,41,0.595959596,17.62562885,0.027729677,5.418194015,2.61E-06,94.86832981
252,1129,11,47.9782,11.15847,1/14/2013 12:00,1,1,661076.0675,5316131.732,0,2013,40,28,20,77,40,0.587628866,18.1366941,0.024370594,4.640928583,9.11E-06,42.42640687
946,1129,11,47.9782,11.15847,5/21/2013 12:00,5,0,661076.0675,5316131.732,0,2013,40,28,20,77,40,0.587628866,18.1366941,0.024370594,4.640928583,9.11E-06,42.42640687
253,1130,11,47.97826,11.15917,1/14/2013 12:00,1,1,661128.1158,5316139.863,0,2013,39,28,20,73,36,0.569892473,20,0.00519709,5.420336129,2.57E-05,0
947,1130,11,47.97826,11.15917,5/21/2013 12:00,5,0,661128.1158,5316139.863,0,2013,39,28,20,73,36,0.569892473,20,0.00519709,5.420336129,2.57E-05,0
254,1131,11,47.97825,11.15977,1/14/2013 12:00,1,1,661172.9198,5316140.006,0,2013,40,28,21,82,37,0.59223301,20,0.003175104,5.504174708,3.20E-05,30
948,1131,11,47.97825,11.15977,5/21/2013 12:00,5,0,661172.9198,5316140.006,0,2013,40,28,21,82,37,0.59223301,20,0.003175104,5.504174708,3.20E-05,30
255,1132,11,47.97776,11.15924,1/14/2013 12:00,1,1,661134.8958,5316084.441,0,2013,39,28,20,86,41,0.622641509,19.11129767,0.020290078,3.467675312,5.23E-06,0
949,1132,11,47.97776,11.15924,5/21/2013 12:00,5,0,661134.8958,5316084.441,0,2013,39,28,20,86,41,0.622641509,19.11129767,0.020290078,3.467675312,5.23E-06,0
950,1133,11,47.97763,11.15855,5/21/2013 12:00,5,0,661083.8111,5316068.551,0,2013,40,28,20,84,40,0.615384615,18.19467487,0.008148383,3.97913192,1.06E-05,30
256,1134,11,47.97779,11.15783,1/14/2013 12:00,1,1,661029.5853,5316084.829,0,2013,40,28,19,73,40,0.586956522,18.72117697,0.021366341,5.824481567,1.91E-06,90
951,1134,11,47.97779,11.15783,5/21/2013 12:00,5,0,661029.5853,5316084.829,0,2013,40,28,19,73,40,0.586956522,18.72117697,0.021366341,5.824481567,1.91E-06,90
257,1135,11,47.97775,11.15716,1/14/2013 12:00,1,1,660979.7129,5316078.984,0,2013,39,28,21,82,43,0.59223301,17.96863476,0.031989687,5.989460607,3.65E-06,120
258,1136,11,47.97742,11.15644,1/14/2013 12:00,1,1,660927.0108,5316040.806,0,2013,40,28,21,90,50,0.621621622,19.75318264,0.018584756,5.741116595,1.71E-06,67.08203932
952,1136,11,47.97742,11.15644,5/21/2013 12:00,5,0,660927.0108,5316040.806,0,2013,40,28,21,90,50,0.621621622,19.75318264,0.018584756,5.741116595,1.71E-06,67.08203932
953,1137,11,47.97729,11.15716,5/21/2013 12:00,5,0,660981.1434,5316027.861,0,2013,40,29,21,88,43,0.614678899,18.85700016,0.018657997,2.001518971,2.24E-06,120
954,1138,11,47.97742,11.15782,5/21/2013 12:00,5,0,661029.9901,5316043.687,0,2013,40,28,19,82,42,0.623762376,18.74872772,0.009038183,2.791873348,5.03E-06,90
259,1139,11,47.97734,11.15849,1/14/2013 12:00,1,1,661080.2361,5316036.196,0,2013,40,28,19,86,42,0.638095238,18.77633484,0.010534414,5.910308964,1.05E-05,30
955,1141,11,47.97689,11.15916,5/25/2013 12:00,5,0,661131.6341,5315987.584,0,2013,40,29,21,87,40,0.611111111,19.8802521,0.012513222,5.232250702,1.44E-05,30
260,1142,11,47.97686,11.15846,1/14/2013 12:00,1,1,661079.4911,5315982.787,0,2013,39,27,19,80,39,0.616161616,18.99999999,0.018004212,4.592259453,1.02E-05,30
956,1142,11,47.97686,11.15846,5/25/2013 12:00,5,0,661079.4911,5315982.787,0,2013,39,27,19,80,39,0.616161616,18.99999999,0.018004212,4.592259453,1.02E-05,30
957,1143,11,47.97689,11.15785,5/25/2013 12:00,5,0,661033.8775,5315984.847,0,2013,39,28,20,95,43,0.652173913,17.33601018,0.019276081,3.668578973,7.12E-06,84.85281374
261,1144,11,47.97699,11.15717,1/14/2013 12:00,1,1,660982.8226,5315994.541,0,2013,40,28,19,81,40,0.62,18.27893699,0.031408054,2.369120253,2.69E-06,120
958,1144,11,47.97699,11.15717,5/25/2013 12:00,5,0,660982.8226,5315994.541,0,2013,40,28,19,81,40,0.62,18.27893699,0.031408054,2.369120253,2.69E-06,120
262,1145,11,47.97686,11.15646,1/14/2013 12:00,1,1,660930.2443,5315978.611,0,2013,39,29,20,97,49,0.658119658,19.32039791,0.022447352,2.817481062,4.83E-06,90
959,1145,11,47.97686,11.15646,5/25/2013 12:00,5,0,660930.2443,5315978.611,0,2013,39,29,20,97,49,0.658119658,19.32039791,0.022447352,2.817481062,4.83E-06,90
960,1146,11,47.97643,11.15651,5/25/2013 12:00,5,0,660935.3123,5315930.926,0,2013,39,29,19,98,46,0.675213675,18.44650793,0.028426981,2.93888367,1.46E-06,90
263,1147,11,47.97645,11.15726,1/14/2013 12:00,1,1,660991.2181,5315934.715,0,2013,39,28,20,92,48,0.642857143,17,0.021658773,2.032732315,4.63E-06,94.86832981
961,1147,11,47.97645,11.15726,5/25/2013 12:00,5,0,660991.2181,5315934.715,0,2013,39,28,20,92,48,0.642857143,17,0.021658773,2.032732315,4.63E-06,94.86832981
264,1148,11,47.97645,11.15785,1/14/2013 12:00,1,1,661035.2463,5315935.947,0,2013,41,28,19,73,35,0.586956522,17.97665963,0.026535192,4.660572226,4.43E-06,42.42640687
962,1148,11,47.97645,11.15785,5/25/2013 12:00,5,0,661035.2463,5315935.947,0,2013,41,28,19,73,35,0.586956522,17.97665963,0.026535192,4.660572226,4.43E-06,42.42640687
265,1149,11,47.97638,11.15853,1/14/2013 12:00,1,1,661086.2084,5315929.588,0,2013,38,28,19,75,36,0.595744681,18.60208689,0.025567967,4.772427914,5.26E-06,30
963,1149,11,47.97638,11.15853,5/25/2013 12:00,5,0,661086.2084,5315929.588,0,2013,38,28,19,75,36,0.595744681,18.60208689,0.025567967,4.772427914,5.26E-06,30
